debug 2025/11/23 13:52:34 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:34 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:35 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:35 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:35 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:36 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:36 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:36 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:37 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:37 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:38 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:38 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:47 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:48 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:49 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:49 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:49 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:50 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:50 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:51 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:51 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:51 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:51 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:51 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:52 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:53 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:54 cursor: 5; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:52:56 cursor: 5; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:52:56 cursor: 5; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:52:56 cursor: 5; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:52:56 cursor: 5; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:57 cursor: 5; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:52:57 cursor: 5; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:52:59 cursor: 5; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:53:00 cursor: 5; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:53:01 firstVisibleLine: -5
debug 2025/11/23 13:53:01 firstVisibleLine: -4
debug 2025/11/23 13:53:01 firstVisibleLine: -3
debug 2025/11/23 13:53:01 firstVisibleLine: -2
debug 2025/11/23 13:53:01 firstVisibleLine: -1
debug 2025/11/23 13:53:01 firstVisibleLine: 0
debug 2025/11/23 13:53:02 firstVisibleLine: 1
debug 2025/11/23 13:53:02 firstVisibleLine: 2
debug 2025/11/23 13:53:02 firstVisibleLine: 3
debug 2025/11/23 13:53:02 firstVisibleLine: 4
debug 2025/11/23 13:53:02 firstVisibleLine: 5
debug 2025/11/23 13:53:02 firstVisibleLine: 6
debug 2025/11/23 13:53:02 firstVisibleLine: 7
debug 2025/11/23 13:53:02 firstVisibleLine: 8
debug 2025/11/23 13:53:02 firstVisibleLine: 9
debug 2025/11/23 13:53:02 firstVisibleLine: 10
debug 2025/11/23 13:53:07 cursor: 21; firstVis: -8; vl_firstVis: 10
debug 2025/11/23 13:53:13 cursor: 21; firstVis: -8; vl_firstVis: -8
debug 2025/11/23 13:53:14 cursor: 21; firstVis: -9; vl_firstVis: -9
debug 2025/11/23 13:53:14 cursor: 21; firstVis: -11; vl_firstVis: -11
debug 2025/11/23 13:53:14 cursor: 21; firstVis: -14; vl_firstVis: -14
debug 2025/11/23 13:53:15 cursor: 21; firstVis: -15; vl_firstVis: -15
debug 2025/11/23 13:53:15 cursor: 21; firstVis: -17; vl_firstVis: -17
debug 2025/11/23 13:53:16 cursor: 21; firstVis: -19; vl_firstVis: -19
debug 2025/11/23 13:53:16 cursor: 21; firstVis: -16; vl_firstVis: -16
debug 2025/11/23 13:53:16 cursor: 21; firstVis: -15; vl_firstVis: -15
debug 2025/11/23 13:53:16 cursor: 21; firstVis: -12; vl_firstVis: -12
debug 2025/11/23 13:55:11 firstVisibleLine: 1
debug 2025/11/23 13:55:11 firstVisibleLine: 2
debug 2025/11/23 13:55:11 firstVisibleLine: 3
debug 2025/11/23 13:55:11 firstVisibleLine: 4
debug 2025/11/23 13:55:11 firstVisibleLine: 5
debug 2025/11/23 13:55:13 cursor: 18; firstVis: 0; vl_firstVis: 5
debug 2025/11/23 13:55:14 cursor: 18; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:55:14 cursor: 18; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:55:14 cursor: 18; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:55:15 cursor: 18; firstVis: 4; vl_firstVis: 4
debug 2025/11/23 13:55:15 cursor: 18; firstVis: 8; vl_firstVis: 8
debug 2025/11/23 13:55:15 cursor: 18; firstVis: 9; vl_firstVis: 9
debug 2025/11/23 13:55:16 cursor: 18; firstVis: 11; vl_firstVis: 11
debug 2025/11/23 13:55:16 cursor: 18; firstVis: 4; vl_firstVis: 4
debug 2025/11/23 13:55:16 cursor: 18; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:55:16 cursor: 18; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:55:16 cursor: 18; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:55:17 cursor: 18; firstVis: -9; vl_firstVis: -9
debug 2025/11/23 13:55:17 cursor: 18; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:55:17 cursor: 18; firstVis: -5; vl_firstVis: -5
debug 2025/11/23 13:55:17 cursor: 18; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:55:18 cursor: 18; firstVis: -3; vl_firstVis: -3
debug 2025/11/23 13:55:18 cursor: 18; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:55:19 cursor: 18; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:55:19 cursor: 18; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:55:20 cursor: 18; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:55:20 cursor: 18; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:56:23 cursor: 18; firstVis: -13; vl_firstVis: -13
debug 2025/11/23 13:56:23 cursor: 18; firstVis: -10; vl_firstVis: -10
debug 2025/11/23 13:56:23 cursor: 18; firstVis: -9; vl_firstVis: -9
debug 2025/11/23 13:56:24 cursor: 18; firstVis: -7; vl_firstVis: -7
debug 2025/11/23 13:56:24 cursor: 18; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:56:25 cursor: 18; firstVis: -5; vl_firstVis: -5
debug 2025/11/23 13:56:27 cursor: 18; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:56:28 cursor: 18; firstVis: -5; vl_firstVis: -5
debug 2025/11/23 13:58:33 firstVisibleLine: 1
debug 2025/11/23 13:58:33 firstVisibleLine: 2
debug 2025/11/23 13:58:37 cursor: 17; firstVis: 0; vl_firstVis: 2
debug 2025/11/23 13:58:38 cursor: 17; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:58:39 cursor: 17; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:58:40 cursor: 17; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:58:40 cursor: 17; firstVis: -3; vl_firstVis: -3
debug 2025/11/23 13:58:41 cursor: 17; firstVis: -5; vl_firstVis: -5
debug 2025/11/23 13:58:41 cursor: 17; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:58:41 cursor: 17; firstVis: -8; vl_firstVis: -8
debug 2025/11/23 13:58:42 cursor: 17; firstVis: -9; vl_firstVis: -9
debug 2025/11/23 13:58:42 cursor: 17; firstVis: -10; vl_firstVis: -10
debug 2025/11/23 13:58:42 cursor: 17; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:58:43 cursor: 17; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:58:43 cursor: 17; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:58:43 cursor: 17; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:58:43 cursor: 17; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:58:44 cursor: 17; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:58:44 cursor: 17; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:58:45 cursor: 17; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:58:46 cursor: 17; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:58:57 cursor: 17; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:58:59 cursor: 17; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:59:00 cursor: 17; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:23 firstVisibleLine: 1
debug 2025/11/23 13:59:26 cursor: 15; firstVis: 0; vl_firstVis: 1
debug 2025/11/23 13:59:27 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:28 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:29 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:30 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:30 cursor: 15; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:59:31 cursor: 15; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:59:31 cursor: 15; firstVis: -5; vl_firstVis: -5
debug 2025/11/23 13:59:32 cursor: 15; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:59:32 cursor: 15; firstVis: -8; vl_firstVis: -8
debug 2025/11/23 13:59:33 cursor: 15; firstVis: -9; vl_firstVis: -9
debug 2025/11/23 13:59:33 cursor: 15; firstVis: -10; vl_firstVis: -10
debug 2025/11/23 13:59:33 cursor: 15; firstVis: -11; vl_firstVis: -11
debug 2025/11/23 13:59:33 cursor: 15; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:59:34 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:34 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:35 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:35 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:35 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:36 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:36 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:36 cursor: 15; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:59:36 cursor: 15; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:59:37 cursor: 15; firstVis: -3; vl_firstVis: -3
debug 2025/11/23 13:59:37 cursor: 15; firstVis: 7; vl_firstVis: 7
debug 2025/11/23 13:59:55 firstVisibleLine: -2
debug 2025/11/23 13:59:56 firstVisibleLine: -1
debug 2025/11/23 13:59:57 firstVisibleLine: 0
debug 2025/11/23 14:00:01 cursor: 20; firstVis: 7; vl_firstVis: 0
debug 2025/11/23 14:04:20 cursor: 19; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:04:21 cursor: 19; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:04:21 cursor: 19; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:04:22 cursor: 19; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:04:23 cursor: 19; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:04:23 cursor: 19; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:04:24 cursor: 19; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 14:04:24 cursor: 19; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 14:04:24 cursor: 19; firstVis: 5; vl_firstVis: 5
debug 2025/11/23 14:04:25 cursor: 19; firstVis: 5; vl_firstVis: 5
debug 2025/11/23 14:04:26 cursor: 19; firstVis: 8; vl_firstVis: 8
debug 2025/11/23 14:04:27 cursor: 19; firstVis: 8; vl_firstVis: 8
debug 2025/11/23 14:04:27 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:27 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:28 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:28 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:29 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:29 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:29 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:29 cursor: 19; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 14:04:30 cursor: 19; firstVis: 9; vl_firstVis: 9
debug 2025/11/23 14:04:30 cursor: 19; firstVis: 9; vl_firstVis: 9
debug 2025/11/23 14:04:30 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:30 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:31 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:44 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:44 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:45 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:45 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:45 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:46 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:47 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:48 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:49 cursor: 19; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 14:04:53 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:53 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:53 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:53 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:54 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:54 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:54 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:56 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:04:57 cursor: 19; firstVis: 14; vl_firstVis: 14
debug 2025/11/23 14:05:15 cursor: 19; firstVis: 16; vl_firstVis: 16
debug 2025/11/23 14:05:16 cursor: 19; firstVis: 16; vl_firstVis: 16
debug 2025/11/23 14:06:03 cursor: 16; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:06:03 cursor: 16; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:06:03 cursor: 16; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:06:04 cursor: 16; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:06:04 cursor: 16; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:06:06 cursor: 16; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 14:06:07 cursor: 16; firstVis: 0; vl_firstVis: 0
